Table 3: Accuracy of Llama2-7b in RAG-in-practice setting [I,■,▲,Q]
Retrieved docs (▲) from retriever + random Wikipedia docs (■) added
Uses NQ-open TEST set (2889 queries)
Key result Contriever: 4 retrieved, best at 15 random = 0.2530 vs baseline 0.1866 = +0.0664 (+35.6%) — paper says "0.07 (+35%)"
Key result BM25: BM25 adds avg 3-4pp due to higher retrieval quality

CONTRIEVER section
#random\#retrieved,1,2,3,4,5,8,10
0,0.1620,0.1866,0.1876,0.1866,0.1921,0.2198,0.2108
1,0.1308,0.1616,0.1717,0.1893*,0.1987*,0.2153*,0.2146*
2,0.1315,0.1644,0.1859*,0.2008,0.2174,0.2156*,0.2368
3,0.1301,0.1727,0.2008,0.2316,0.2201,0.2198,0.2409
5,0.1464,0.2056,0.2233,0.2240,0.2150,0.2451,0.2482
8,0.1734,0.2066,0.2336,0.2375,0.2454,0.2416,0.2364
10,0.1796,0.2174,0.2450,0.2502,0.2499,0.2420,-
15,0.2018,0.2354,0.2551,0.2530,-,-,-
16,0.2032,0.2471,0.2558,-,-,-,-
17,0.2039,0.2426,-,-,-,-,-
18,0.2073,-,-,-,-,-,-

BM25 section
#random\#retrieved,1,2,3,4,5,8,10
0,0.2008,0.2208,0.2084,0.2028,0.2243,0.2492,0.2447
1,0.1568,0.1963,0.1921,0.2115,0.2295*,0.2475*,0.2506*
2,0.1644,0.1973,0.2080*,0.2281,0.2558,0.2495*,0.2596
3,0.1568,0.2063,0.2160,0.2520,0.2579,0.2644,0.2707
5,0.1772,0.2402,0.2437,0.2520,0.2554,0.2804,0.2866
8,0.1994,0.2451,0.2579,0.2769,0.2817,0.2859,0.2777
10,0.2108,0.2589,0.2734,0.2835,0.2935,0.2853,-
15,0.2243,0.2686,0.2790,0.2928,-,-,-
16,0.2323,0.2662,0.2838,-,-,-,-
17,0.2326,0.2693,-,-,-,-,-
18,0.2309,-,-,-,-,-,-

Retriever top-k accuracy (answer present in retrieved docs):
k=1: BM25=0.2966  Contriever=0.2502
k=2: BM25=0.4105  Contriever=0.3569
k=4: BM25=0.5237  Contriever=0.4784
k=10: BM25=0.6663  Contriever=0.6085

* = NOT statistically significant change from base case (Wilcoxon p<0.01)
- = prompt exceeded model input limit
